ref,duration,amount,energy,energy_per_part,duration_per_part,energy_per_hour
Change,1848.0678333333449,0.0,324245660.0,0.0,0.0,175451.17021768662
Idle,1679.6513888888987,0.0,390376450.0,0.0,0.0,232415.16101638018
Off,1358.4316666666869,0.0,0.0,0.0,0.0,0.0
REF001,992.4969444444444,128742.0,322831580.0,2507.5857,0.007709193149434096,325272.1187778636
REF003,1580.4402777777925,154658.0,480416200.0,3106.3132,0.0102189364777625,303976.1759776827
REF004,2057.589444444449,206732.0,619460160.0,2996.4407,0.009952931546371384,301061.10899458604
REF006,1667.022777777785,172189.0,412290700.0,2394.4077,0.00968135466131858,247321.56842487882
REF007,981.666722222219,133981.0,269723000.0,2013.1437,0.0073269099515768585,274760.2642467318
REF008,881.7772222222321,96574.0,253413310.0,2624.0325,0.009130586102079567,287389.26977650245
REF009,1020.1391666666717,124967.0,307477950.0,2460.4731,0.00816326843620053,301407.84909248346
REF010,793.7586111111028,78355.0,235838380.0,3009.8704,0.01013028665830008,297116.0006313173
REF011,1383.016944444449,148775.0,397700740.0,2673.1692,0.009296030545753313,287560.2772601997
REF013,625.0652777777746,61464.0,169407500.0,2756.207,0.010169615999247927,271023.6994802779
REF014,513.2649999999999,77034.0,167260240.0,2171.2522,0.006662837188773786,325875.0158300294
REF015,587.8794444444467,113581.0,211136200.0,1858.9042,0.0051758607904882565,359148.791466125
REF016,195.44777777777756,29742.0,65487068.0,2201.8381,0.006571440312614403,335061.7169690117
REF017,136.0655555555553,30108.0,43315332.0,1438.6652,0.004519249221321752,318341.6392425226
REF018,129.46722222222206,27816.0,47106680.0,1693.5103,0.0046544155242386415,363850.2409447269
Warmup,740.6808333333364,0.0,209136530.0,0.0,0.0,282357.14843437844
