,H2,O2,N2,CH4,CO,CO2,C2H4,C2H6,C2H2
1/1/2018,5,0,0,5,326,4022,35,15,0
1/11/2018,12,0,0,38,705,6375,59,21,0
1/21/2018,14,0,0,17,504,3453,46,21,0
1/31/2018,22,0,0,17,504,3426,44,16,0
2/10/2018,522,0,0,5,423,2939,37,15,0
2/20/2018,135,0,0,5,346,2483,29,14,0
3/2/2018,21,0,0,165,378,4918,126,337,0
3/12/2018,19,0,0,93,344,4699,124,152,0
3/22/2018,21,0,0,163,385,4769,123,305,0
4/1/2018,103,0,0,164,363,4929,127,314,0
4/11/2018,5,0,0,158,356,4781,129,278,0
4/21/2018,9,0,0,169,385,4971,134,283,0
5/1/2018,14,0,0,160,369,5053,139,299,0
5/11/2018,29,0,0,156,356,4897,137,274,0
5/21/2018,11,0,0,135,358,4920,135,251,0
5/31/2018,15,0,0,159,377,5232,145,276,0
6/10/2018,22,0,0,180,397,5557,147,263,0
6/20/2018,18,8350,75544,181,407,5568,158,280,0
6/30/2018,185,8597,81163,70,817,2902,80,100,0
7/10/2018,0,1232,53228,92,688,2397,0,0,0
7/20/2018,0,2248,62782,116,520,3743,136,92,0
7/30/2018,0,3231,37771,176,459,5629,214,175,0
8/9/2018,0,14109,77669,125,331,3978,88,78,0
8/19/2018,0,19259,128009,124,333,3638,101,88,0
8/29/2018,0,6320,43384,124,340,3928,91,73,0
9/8/2018,0,5549,49114,123,315,3155,131,94,0
9/18/2018,0,2356,69481,93,782,3554,161,118,0
9/28/2018,0,11032,81222,104,219,1599,118,76,0
10/8/2018,0,7518,58999,125,275,2489,147,88,0
10/18/2018,0,12199,106512,139,320,2469,183,123,0
10/28/2018,0,14132,62819,107,190,1824,137,78,0
11/7/2018,45,2020,43311,180,305,2913,213,107,0
11/17/2018,0,2599,80924,182,306,2306,222,124,0
11/27/2018,46,7573,110945,196,471,2467,253,141,0
12/7/2018,10,4960,84580,185,282,2644,225,98,0
12/17/2018,20,9312,71252,171,244,1808,267,59,0
12/27/2018,27,5618,58374,230,327,697,238,88,0
1/6/2019,31,0,0,22,610,4339,53,25,0
1/16/2019,,,,,,,,,
